"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kai Jones","Lac","C-F","24","26","7.8","10.7","22.1","12","0.75","33","0.758","2","0","0.714","0.732","2.3","1.7","0.4","0.2","0.5","0.4","4","2.7","4.3","6","127.7","100.4"
"","Chris Duarte","Chi","G","27.6","16","4.6","16.9","3.8","8","0.75","11","0.545","14","0.429","0.6","0.631","2.3","1.3","0.5","0","0","0.1","3.5","2.8","4","9.9","137.1","110.4"
"","Vlatko Cancar","Den","F","27.8","4","8.6","11","22.2","0","0","5","0.6","2","0.5","0.643","0.643","2.3","2","0","0","0.3","0.5","4.3","2.3","4.3","0","106.4","106.6"
"","Shake Milton","Lal","G","28.3","6","9.7","14.3","17.3","4","0.75","4","0.5","10","0.2","0.357","0.412","2.2","1.7","0.8","0","0.2","0.5","3.8","3","4.7","5.9","86.8","114.3"
"","Jaylon Tyson","Cle","G-F","22.1","26","7.3","15.2","17.4","10","0.6","32","0.469","20","0.35","0.49","0.505","2.2","1.8","0.7","0.3","0","0.4","4","2.9","4.7","7.7","107.8","100.2"
"","Hunter Tyson","Den","F","24.6","32","7.5","12.7","13.8","17","0.824","22","0.5","34","0.324","0.491","0.543","2.2","1.4","0.4","0.1","0.1","0.3","3.6","2.6","4","5.7","110.4","104.3"
"","Dillon Jones","Okc","F","23.2","27","8.5","15.2","13.3","14","0.571","28","0.536","37","0.189","0.392","0.415","2.2","1.9","0.7","0.2","0.1","0.4","4.1","2.9","4.8","6.7","97.2","98.9"
"","Patrick Baldwin Jr.","Was","F","22.2","19","4.1","16.8","9.9","4","0.5","10","0.6","17","0.529","0.722","0.713","2.2","0.8","0.1","0.1","0.1","0.2","2.9","2.2","3","5.5","124.1","118.2"
"","MarJon Beauchamp","Mil","F","24.3","20","4.4","26.6","24.3","10","0.8","20","0.5","17","0.294","0.473","0.519","2.2","1.1","0.1","0.1","0.1","0.6","3.2","2.3","3.3","5.7","84.1","107.6"
"","Tristan Thompson","Cle","C-F","33.9","19","8.2","14.8","15.5","20","0.25","36","0.5","2","0","0.474","0.438","2.2","2.9","0.6","0.1","0.3","0.4","5.1","2.8","5.7","7.6","99.8","102.6"
"","Orlando Robinson","Sac","C","24.5","9","6.3","18","18.8","7","0.571","12","0.5","5","0.2","0.441","0.473","2.1","1.6","1","0.3","0.1","0.4","3.7","3.1","4.7","9.5","101.7","102.8"
